source_id,origin,category,source_org,source_type,authority_level,evidence_role,jurisdiction,primary_or_secondary,description,source_url,final_url,saved_path,file_size_bytes,sha256,content_type,status,verified_at_utc,notes
SRC-0031,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Infectious Bronchitis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,传染性支气管炎,https://www.merckvetmanual.com/poultry/infectious-bronchitis/infectious-bronchitis-in-poultry,https://www.merckvetmanual.com/poultry/infectious-bronchitis/infectious-bronchitis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bronchitis_infectious-bronchitis-in-poultry.html,328827,d2c14587cbf659bc8ec566bc1859e2d8fd3f8a2e3d8d51a324bdea0e4259f623,,downloaded,2026-04-28T07:40:26.174445+00:00,
SRC-0036,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Infectious Bursal Disease in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,传染性法氏囊病,https://www.merckvetmanual.com/poultry/infectious-bursal-disease/infectious-bursal-disease-in-poultry,https://www.merckvetmanual.com/poultry/infectious-bursal-disease/infectious-bursal-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bursal-disease_infectious-bursal-disease-in-poultry.html,295265,9c7239ee52b76031b8bbbddb6a7178b0a1717e1822a026536fe6439bcd1da315,,downloaded,2026-04-28T07:40:26.181176+00:00,
SRC-0041,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Infectious Coryza in Chickens,disease_reference_page,A2,clinical_reference,US,secondary,传染性鼻炎,https://www.merckvetmanual.com/poultry/infectious-coryza/infectious-coryza-in-chickens,https://www.merckvetmanual.com/poultry/infectious-coryza/infectious-coryza-in-chickens,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-coryza_infectious-coryza-in-chickens.html,359539,79f6f300dca8cfbb4d973bb589de008de3205dfebd1a4bd8431ede12544c4f50,,downloaded,2026-04-28T07:40:26.189158+00:00,
SRC-0038,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Infectious Laryngotracheitis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,传染性喉气管炎,https://www.merckvetmanual.com/poultry/infectious-laryngotracheitis/infectious-laryngotracheitis-in-poultry,https://www.merckvetmanual.com/poultry/infectious-laryngotracheitis/infectious-laryngotracheitis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-laryngotracheitis_infectious-laryngotracheitis-in-poultry.html,332049,bf5442849aad3c54bb3e6f98d4e291fbb392bc2b295bbb9a62524d31c79b4dbb,,downloaded,2026-04-28T07:40:26.183820+00:00,
SRC-0053,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Cannibalism in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,啄癖,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/common-management-related-problems-in-backyard-poultry,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/common-management-related-problems-in-backyard-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_cannibalism-in-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.207076+00:00,
SRC-0032,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Heat Stress in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,热应激,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/management-of-backyard-poultry,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/management-of-backyard-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_heat-stress-in-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.175583+00:00,
SRC-0054,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Poultry Housing and Ventilation,disease_reference_page,A2,clinical_reference,US,secondary,氨气刺激性呼吸道病,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/management-of-laying-chickens,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/management-of-laying-chickens,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_management-of-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.208165+00:00,
SRC-0051,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Ascites Syndrome in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,腹水综合征,https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/ascites-syndrome-in-poultry,https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/ascites-syndrome-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_miscellaneous-conditions-of-poultry_ascites-syndrome-in-poultry.html,279265,59abc3a54c04e5505eab2c07b0818e693567f88a7f726fdcf0fe794203dc75c2,,downloaded,2026-04-28T07:40:26.203895+00:00,
SRC-0039,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Mycoplasmosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡支原体病,https://www.merckvetmanual.com/poultry/mycoplasmosis/mycoplasmosis-in-poultry,https://www.merckvetmanual.com/poultry/mycoplasmosis/mycoplasmosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycoplasmosis_mycoplasmosis-in-poultry.html,219293,614f0971c23d5cf54996cee259eb6e6255f4509174f60be2bb1f4e3c08b254ef,,downloaded,2026-04-28T07:40:26.184977+00:00,
SRC-0049,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Mycotoxicoses in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,霉菌毒素中毒,https://www.merckvetmanual.com/poultry/mycotoxicoses/mycotoxicoses-in-poultry,https://www.merckvetmanual.com/poultry/mycotoxicoses/mycotoxicoses-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycotoxicoses_mycotoxicoses-in-poultry.html,335699,dfba658fd6f27cf60c2ec566a204d36eb05026776ca5b07b13d272c9a20e14a7,,downloaded,2026-04-28T07:40:26.200927+00:00,
